posts,science
"Researchers restore some function to brains of dead pigs, raising potential for human applications.",1
The NADase CD38 is induced by factors secreted from senescent cells providing a potential link between senescence and age-related cellular NAD+ decline,1
Study found 47% of hospitals had linens contaminated with pathogenic fungus. Results suggest hospital linens are a source of hospital acquired infections,1
"Cannabis users required a higher amount of sedation than non-cannabis users in a review of endoscopic procedures (N=250, P=0.05)",1
"Atmospheric currents are transporting plastic pollution into remote, pristine areas, showing the global nature of the problem.",1
Consumption of genetically modified broccoli decreases the expression of genes associated with prostate cancer,1
Scientists ‘reverse engineer’ brain cancer cells to find new targets for treatment: Genome-wide CRISPR-Cas9 screens expose vulnerabilities in patient-derived glioblastoma stem cells,1
Eating red meat just once a day increases bowel cancer risk by a fifth says new study by Oxford University,1
"Biological and cognitive underpinnings of religious fundamentalism. -- Findings indicate that cognitive flexibility and openness are necessary for flexible and adaptive religious commitment, and that such diversity of religious thought is dependent on dorsolateral prefrontal cortex functionality.",1
"The opioid epidemic may have cost US state and federal governments up to $37.8 billion in lost tax revenue due to opioid-related employment loss, according to a new study. Lost tax revenue represents an important cost that could be recouped and allocated to opioid prevention and treatment programs.",1
"Today the United States sits in the midst of the largest wealth bubble in post-World War II history, as measured by household net worth (or wealth) relative to gross domestic product",1
Scientists have developed a method for improving the accuracy of the CRISPR genome editing technology by an average of 50-fold that can be easily translated to any of the editing technology's continually expanding formats.,1
"Scientists print first 3D heart using patient's biological materials. Engineered heart completely matches the immunological, cellular, biochemical and anatomical properties of the patient",1
There is water just under the surface of the moon that we could use,1
Study Finds No Benefit for Dietary Supplements,1
"For time-crunched medical students, taking a two-hour introductory class on mindfulness may be just as beneficial for reducing stress and depression as taking an eight-week meditation course, a study finds.",1
"Meteors slamming into the Moon blast roughly 200 tons of water into space each year, suggesting a global layer of water exists just inches below the lunar surface.",1
"Scientists report on the changes a stroke imposes on the gut microbiome - some species of bacteria are more likely to emerge, while others decrease - a finding which could lead to treatments for stroke that target the gut",1
"Keto diet has potential in military, where obesity is an ongoing challenge. Study found sustained ketosis for 3 months, plus an average 17-lb weight loss.",1
"Rising levels of ocean plastics are officially confirmed by a study looking at 60 years of data on bags, rope and netting. They found that the occurrence of plastic entanglement on the CPR increased by around ten times from 2000 onwards.",1
Microplastics Are Blowing in the Wind,1
Study Finds White Sharks Flee Feeding Areas When Orcas Present,1
Breast cancer spreads to the bone by hijacking the site where our normal hematopoietic stem cells grow,1
Why our ancestors drilled holes in each other's skulls,1
"When Life Gives You Sour Lemons, Use Genetics to Find Out Why",1
"Labeling food products and beverages for added sugars could generate substantial health benefits over the next 20 years, potentially preventing nearly 1 million cases of cardiovascular disease and diabetes and lowering healthcare costs",1
New study shows 1/3 of medical professionals tell parents of children displaying warning signs of autism that they will “grow out of it” - leading to over a year of lost treatment opportunity,1
Combinatorial Cognitive Behavioral Ontological Hypergraph,1
The modern human face is distinctively different to that of our near relatives and now researchers believe its evolution may have been partly driven by our need for good social skills.,1
"An international study reveals that individuals with frontal alpha asymmetry (FAA) experienced more anger in their dreams. The results could potentially help to understand the neural basis of the emotional content of nightmares, a feature of various mental and sleep disorders.",1
ETH researchers have integrated two CRISPR-Cas9-based core processors into human cells. This represents a huge step towards creating powerful biocomputers.,1
"Train your brain to change your brain, suggests a new randomized, double-blind, sham-controlled study, which found that less than one hour of brain training with neurofeedback leads to a strengthening of neural connections and communication among brain areas.",1
"The ancestors of the people who built Stonehenge travelled west across the Mediterranean before reaching Britain, a study has shown",1
"Researchers at Tel Aviv University unveil world’s first 3D-printed heart with human tissue. ""This is the first time anyone anywhere has successfully engineered and printed an entire heart replete with cells, blood vessels, ventricles and chambers,”",1
Liberals and conservatives are more able to detect logical flaws in the other side's arguments and less able to detect logical flaws in their own. Findings illuminate one key mechanism for how political beliefs distort people’s abilities to reason about political topics soundly.,1
"Cause of cancer is written into DNA of tumours, scientists find, creating a 'black box' for origin of disease",1
"People who use marijuana need more anesthesia during medical procedures like endoscopies or colonoscopies. A new study found that they needed 14 percent more fentanyl, 19.6 percent more midazolam, and 220.5 percent more propofol.",1
First high-resolution image of huge star-forming region in the Milky Way,1
Scientists can use “environmental DNA” to detect human remains in bodies of water,1
The discrete-time physics hiding inside our continuous-time world,1
"The ancestors of the people who built Stonehenge travelled west across the Mediterranean before reaching Britain, a study has shown.",1
The trouble with thaw,1
Climate change could undermine children's education and development in the tropics.,1
"Reducing the cardiovascular disease burden for people of all ages in the Americas region: analysis of mortality data, 2000–15",1
TESS discovers its first Earth-sized exoplanet. The planet sits just 52 light-years away and orbits its star once every 8 days.,1
"Randomized, Double-blind, Placebo-controlled Study of a Multispecies Probiotic Mixture in Nonalcoholic Fatty Liver Disease",1
"Humanity’s collective attention span is changing, new research argues. Trends become popular faster now than ever before, but they also lose that popularity even more quickly as people direct their attention to an endless supply of new content.",1
"Low-intensity ultrasound can change decision-making process in the brain. New research in primates has shown for the first time that counterfactual thinking is causally related to a frontal part of the brain, called the anterior cingulate cortex",1
Public Involvement in Global Genomics Research: A Scoping Review,1
"Scientists have found that tumors can switch off the expression of a cell surface molecule that is a key target of immunotherapy, which stops the treatment from working",1
"Scientists have developed a new type of gene editing CRISPR system, called CRISPR-Cas3, which can efficiently erase long stretches of DNA from a targeted site in the human genome, with the potential to seek out and erase such ectopic viruses as herpes simplex, Epstein-Barr, and hepatitis B.",1
"Researchers have successfully blocked the activity of portions of a protein known as UHRF1 and restored the function of hundreds of cancer-fighting genes that became ""misregulated"" by the disease",1
"Young children who live close to a major roadway are twice as likely to score lower on tests of communications skills, compared to those who live farther away from a major roadway. Early childhood exposure to air pollutants may convey a higher risk for developmental delays",1
"Our brains may solidify the memories of new skills we just practiced a few seconds earlier by taking a short rest, finds a new study. “Everyone thinks you need to ‘practice, practice, practice’ when learning something new. Instead, we found that resting, early and often, may be just as critical“.",1
All printable snow-based triboelectric nanogenerator,1
China turtle death: One of last four known Yangtze giant softshells dies,1
"Mercury levels provide a more direct link between Siberian volcanoes and the massive extinction known as ""the great Dying"" 252 million years ago.",1
Google searches reveal popular bird species,1
Orbital Period Variation of KIC 10544976: Applegate Mechanism versus Light Travel Time Effect,1
"Nearly one-in-four Japanese people between ages 18 and 39 are still virgins, reports their National Fertility Survey. This increasingly sexless generation isn’t alone, either. The trend has hit many wealthy nations, where modern culture and work lives make it hard to find a “suitable mate.”",1
People choose a life partner who is likely to have a comparable life expectancy and who share similar risks of illnesses - such as high blood pressure or heart disease according to new research,1
"Long-term meditation practitioners have a faster cortisol recovery from stress, finds a new study, which suggests the practicing meditation can improve the psychophysiological response to stress by reducing self-conscious emotions.",1
Breakthrough in medicine: Israeli researches print live heart,1
"Across all primates, including humans, ""the showiest males have the smallest testes.""",1
Recently Discovered EARTH LIKE Planets,1
"Why some low-income neighborhoods are better than others: Exposure to lead, violence and incarceration affects kids’ upward mobility. Punishing and toxic neighborhood environments independently predict the intergenerational social mobility of black and white children.",1
Vitamin D deficiency said to influence susceptibility to multiple sclerosis,1
Accelerating Dynamics of Collective Attention,1
"Scientists Discover New Role for Sensory Signals in the Brain. New research on neural signals could lead to additional treatments for movement disorders such as Parkinson’s disease and Huntington’s disease, or psychiatric conditions like obsessive compulsive disorder.",1
"New Tool Gauges Rural, Older Adults’ Alzheimer’s Knowledge",1
How going hungry affects children for their whole lives,1
One-third of cancer patients use complementary and alternative medicine,1
NASA Twins Study finds spaceflight affects gut bacteria,1
Rabies-based vaccine induces potent immune responses against Nipah virus,1
"When heavy rain falls over the Indian Ocean and Southeast Asia and the eastern Pacific Ocean, it is a good indicator that temperatures in central California will reach 100°F in four to 16 days.",1
The symbiotic relationship between trees and fungi affects the ecosystem health of forests through its impact on the cycling of nutrients such as nitrogen through forest soils and the diversity of plant life.,1
A novel small molecular NLRP3 inflammasome inhibitor alleviates neuroinflammatory response following traumatic brain injury,1
New research links celebrity fat-shaming—critiques of their appearance—with increased implicit negative weight-related attitudes among women.,1
Meteoroid Strikes Eject Precious Water From Moon,1
Spatiotemporal dynamics and early detection of thermoacoustic combustion instability in a model rocket combustor,1
The sun Is spitting out 'lava lamp blobs' 500 times the size of Earth. Observations confirmed that the blobs are incredibly hot when they leave the sun — sometimes twice as hot as the average solar wind around them,1
Research has found that most patients entering hospital intensive care units (ICU) for non-brain-related injuries or ailments also suffer from some level of related cognitive dysfunction that currently goes undetected in most cases.,1
"“Significant concern is emerging over the possible impact on health and safety arising from potentially much higher exposure to radiofrequency electromagnetic radiation arising from 5G.""",1
"In twins, clues to how spaceflight affects body",1
"Medicaid could save $2.6 billion within a year if just 1% of its recipients quit smoking, according to new research by UCSF.",1
Warming pushes lobsters and other species to seek cooler homes,1
"New research suggests earliest life may have arisen in ponds, not oceans",1
"Teenagers have an overly simplistic understanding of consent that often ignores relevant non-verbal cues, a new study suggests. Findings suggest the need to engage young people in the discussion of what consent means much earlier in development.",1
"Study identifies factors for healthy memory at any age. Research finds targets for promoting healthy memory aging, early intervention, and prevention for disease.",1
Fossil of ancient four-legged whale with hooves discovered | Science,1
"Electric vehicle adoption improves air quality and climate outlook, suggests a new study that compared electric vehicles to internal combustion engines. Even when their electricity is generated from combustion sources, electric vehicles have a net positive impact on air quality and climate change.",1
"A person’s sexual behavior could affect their microbiome and immune system, potentially elevating their risk of HIV infection, according to a new study",1
"Study finds that pregnancy discrimination is still problematic for low-income women. While the difference in employment rates between pregnant and nonpregnant women who earn US$20k a year or more is relatively small, the gap is more than 11 percentage points among poorer women.",1
"Scientists are able to create water that doesn't seem to ever turn into ice, even when subjected to temperatures approaching absolute zero.",1
"Dogs cleaner than men with beards, study shows",1
New study published in the journal Pediatrics finds that the rate of foreign-body ingestion among children under age 6 nearly doubled in the two decades after 1995.,1
World's biggest T. rex discovered,1
"2018 European Commission science report. In 2017, [man-made] fossil CO2 global emissions increased 1.2% over 2016. ""IPCC report is very clear: CO2 emissions must reach net zero by 2050."" Share of man-made fossil CO2 emissions in 2017: China 29%, US 14%, EU 9.6%, India 6.6%, Russia 4.8%, Japan 3.6%.",1
"Denisovans were actually three distinct groups of ancient humans spread from Siberia to Indonesia, a sweeping new genetic analysis reveals. The last of their kind may have vanished just tens of thousands of years ago.",1
Restricting carbohydrates at breakfast is sufficient to reduce 24-hour exposure to postprandial hyperglycemia and improve glycemic variability,1
"NASA's Twins Study confirms spaceflight can: damage DNA; change how thousands of genes are expressed; increase the length of telomeres (the caps that protect chromosomes); thicken carotid artery walls; and increase inflammation. However, over 90% of the changes returned to normal post-flight.",1
Using combined biological and computational approaches to design drugs from seaweed,1
"Scientists have found a few bones and seven teeth belonging to a previously unknown species of human. They've named the new species Homo luzonensis, after the island of Luzon in the Philippines where it was found.",1
Ecological study presented at this week's European Congress of Clinical Microbiology &amp; Infectious Diseases in Amsterdam identifies potential association between antimicrobial resistance and climate change,1
Story of Elements named after Scientists in the Periodic Table,1
"Researcher from the University of Toronto proposes to regulate cryptocurrency. He studied the case of QuadrigaCX exchange which has filed for creditor protection after its CEO took passwords to grave, affecting the deposits of 115,000 people.",1
"Smiling really can make people feel happier, according to a new paper in Psychological Bulletin, which looked at nearly 50 years of data testing whether facial expressions can lead people to feel the emotions related to those expressions, based on more than 11,000 participants from around the world.",1
Combination of fish oil and curcumin has anabolic effect in inactive muscles.,1
Indian scientists chance upon oil crop rich in omega-3 fatty acids,1
"Debate about false positives has led research in social psychology to change from 2011-2016: Larger Sample Sizes, More Self-Report Measures, and More Online Studies. The research improved in its statistical power, but also changed with regard to the methods applied.",1
Women on Medicaid are 40% more likely to develop a surgical site infection after cesarean birth than those with private insurance,1
Scientists have discovered a unique oil eating bacteria in the deepest part of the Earth’s oceans – the Mariana Trench. Similar microorganisms play a role in degrading oil spills in natural disasters. The proportion of hydrocarbon degrading bacteria in the Trench is the highest on Earth.,1
"""Hidden Signals"" --The Next Big Discovery About Our Cosmos | The Daily Galaxy",1
"U.S. hit with two billion-dollar disasters so far in 2019 — US has coldest 1st quarter in 5 yrs — March cyclone in Midwest was billion-dollar disaster. Other one was severe storm in Northeast, Southeast, Ohio Valley in Feb. Alaska temps 15.9º F above average, hottest March in state's 95-yr record.",1
"About 4 million children worldwide develop asthma each year due to traffic-related pollution (NO2 air pollution). The study, based on data from 2010 to 2015,estimates that 64% of these occur in urban areas.",1
Low-income Americans in states that expanded Medicaid (as part of the Obamacare health care reform) are more supportive of Obamacare (the Affordable Care Act) than low-income Americans in states that did not expand Medicaid.,1
"Quantum entanglement, two sided spacetime and the thermodynamic arrow of time -The Best of the Physics arXiv (week ending April 13, 2019)",1
"In a study of healthy volunteers, National Institutes of Health researchers found that our brains may solidify the memories of new skills we just practiced a few seconds earlier by taking a short rest. The results highlight the critically important role rest may play in learning.",1
Human neutrophils degrade methacrylate resin composites and tooth dentin. Human neutrophils in the oral cavity contain factors that are hypothesized to have CE and MMP activities that could contribute to the degradation of methacrylate resins and dentinal collagen.,1
Tweeting while flying kills migratory birds | Science,1
New research (published in Cell Host and Microbe journal) is discovering how small molecules can be used to ‘open up’ the HIV virus – allowing the immune system to target and destroy it.,1
Hospital nurse cell phones carry antibiotic resistant bacteria; may act as a source of transmission in the hospital,1
"Ancient 'Texas Serengeti' had elephant-like animals, rhinos, alligators and more - In total, the fossil trove contains nearly 4,000 specimens representing 50 animal species, all of which roamed the Texas Gulf Coast 11 million to 12 million years ago.",1
"Arctic is warmest it's been in 10,000 years, study suggests | CBC News",1
Study challenges hydrogen-ordered ice hypothesis,1
"Notes from the Field: Unintentional Drug Overdose Deaths with Kratom Detected — 27 States, July 2016–December 2017",1
Experts warn of fatty liver disease 'epidemic' in young people,1
"Surveys of religious and non-religious people show that a sense of ""oneness"" with the world is a better predictor for life satisfaction than being religious.",1
"Mass vaccination campaigns between 2010 and 2013 prevented up to 56,000 measles deaths among children in India.",1
"In areas where labor unions are stronger, higher levels of income inequality prompt greater support for welfare spending.",1
"HPV rates for women under 40 increasing, putting them at higher risk of related cancers, study shows",1
"Scientists in China have placed human genes into the brains of monkeys, an experiment which appears to have made the primates performed better on a short-term memory test, with shorter reaction times when compared to normal monkeys, according to a new study in the journal National Science Review.",1
Discovery of an Ancient Egyptian Woman's Teeth Reveals She Had a Surprising Profession,1
Ketamine May Relieve Depression By Repairing Damaged Brain Circuits,1
"It's safer to be a cop in the U.S. today than 50 years ago, finds a new study. Despite increases in violent crimes, the hazards of policing has dramatically declined since 1970 with a 75 percent drop in police officer line-of-duty deaths.",1
"The lasers used in telecommunications are made from semiconductor crystals. Researchers found that by stressing the laser diode and spin, they could enable room-temperature modulation frequencies above 200GHz, which is an order of magnitude better than the best conventional semiconductor lasers.",1
"Regrowing tropical forests recover fast in tree species richness, but slow in species composition -""After 20 years of regrowth, only 34% of the original species composition has recovered.""",1
"Researchers have found that the rat brain activates the same cells when they observe the pain of others as when they experience pain themselves. In addition, without the activity of these mirror neurons, the animals no longer share the pain of others",1
Silicon solar cells could get a boost in electrical output with a coating of perovskite materials.,1
"Durable or recyclable - Study looks into the impact of government policies to reduce the amount of electronics waste filling up landfills, finds that sometimes when you design for recyclability, you give up on durability, and when durability is the goal, recyclability is sacrificed.",1
"People turn to consumerism to confront problems, grief and feelings. Research reveals a new consumption trend - the important role of marketplaces in enabling consumers to confront their problems.",1
A web-based parent training intervention for childhood disruptive behavior was successfully transferred to child health clinics. The low discontinuation rate implies that parents experienced the digital intervention as user-friendly and easily accessible.,1
A new potential treatment for an aggressive type of breast cancer takes inspiration from a dangerous virus,1
NASA Kelly twins study shows harsh effects of space flight and a brutal return to Earth,1
"According to a new study published in the journal Vaccine, YouTube and Facebook are key enablers for anti-vaxxers to espouse anti-vaccination sentiments.",1
Autism rates for NJ preschoolers have dramatically increased. The Centers for Disease Control and Prevention study says within the past four years the number of four-year-olds listed on the autism spectrum went up by 43%.,1
"Kinematics Analysis and Optimization of Carbon-Free Vehicle of ""8""-Shaped Trajectory Based on Spatial RSSR Mechanism",1
Birdwatching survey shows effects of temperatures on population of Jays,1
EPA study provides the most detailed estimate yet of the economic costs of climate change in the US. They found that taking action to reduce emissions could save us at least $200 billion per year by the end of the century.,1
"Bacteria in the human body are sharing genes with one another at a higher rate than is typically seen in nature, and some of those genes appear to be traveling -- independent of their microbial hosts -- from one part of the body to another",1
"JUUL electronic cigarette products linked to cellular damage. The nicotine concentrations are sufficiently high to be cytotoxic, or toxic to living cells, when tested in vitro with cultured respiratory system cells",1
Sophisticated plant immunity: Plants sense small bacterial metabolites to defend themselves from infection,1
"Scientists have identified special types of brain cells that may allow us to simulate the decision-making processes of others, thereby reconstructing their state of mind and predicting their intentions.",1
Experimental PET scan detects abnormal tau protein in brains of living former NFL players in brain regions affected by CTE,1
A mysterious species related to humans has been discovered,1
An endemic microphytoplankton assemblage from Middle Devonian Iberia and its paleogeographical significance,1
Invisible inequality leads to punishing the poor and rewarding the rich,1
"Mars methane hunt comes up empty, flummoxing scientists",1
The first picture of a black hole opens a new era of astrophysics. The supermassive beast lies in a galaxy called M87 more than 50 million light-years away,1
"Fifty-year study shows climate change is pushing UK wildlife out of sync. These trends could have serious ramifications for ecosystems, as significant variation between groups of animals in the rates of advance means populations are becoming out of sync with the life cycles of their prey",1
"Natural forests best bet for fighting climate change, analysis finds",1
"For those confused about the orientation of M87 and why the ring is lopsided, this does a great job at explaining it.",1
"Human health can be 'mostly sustained' for a year in space, NASA Twins Study concludes",1
The Boy Missing an Entire Type of Brain Cell: microglia,1
Heart attack rates are rising fastest in young women,1
The NASA Twins Study: A multidimensional analysis of a year-long human spaceflight,1
"For the first time, tau levels were measured in a group of living former NFL players with cognitive and neuropsychiatric symptoms measured by PET in brain regions that are affected by CTE",1
CDC: Americans Are Dying From Kratom Overdoses,1
"New Species of Ancient Human, Homo luzonensis, Identified in the Philippines",1
"A new study finds that forcing the HIV Envelope protein into the 2A conformation makes the otherwise evasive HIV virus known to the immune system, and could offer a way to have the body’s own immune mechanisms target the virus.",1
"Male primates equipped with showy ornaments that help them control access to females by intimidating other males, tend to have smaller gonads, according to a new study",1
"For the first time, archaeologists interpreted Cherokee inscriptions in Manitou Cave, Alabama, revealing evidence of secluded ceremonial activities at a time of crisis, when, displaced from their lands they were sent on the Trail of Tears in the 1830s",1
"Experiments done on mice in the ISS show they quickly adapt to microgravity conditions. Unexpectedly, however, some of the mice exhibited distinctive “race-tracking” behavior that evolved into coordinated group activity",1
Bag leakage: The effect of disposable carryout bag regulations on unregulated bags.,1
chromoMap: An R package for Interactive Visualization and Annotation of Chromosomes,1
New study shows a higher consumption of dietary cholesterol or eggs was significantly associated with higher risk of incident CVD and all-cause mortality in a dose-response manner. These results should be considered in the development of dietary guidelines and updates.,1
All source images of the black hole that combine the Chandra X-Ray and Event Horizon data,1
"Scientists Have Found 600 New Cancer Vulnerabilities, Each Could Be the Target of a Drug",1
Research has found traffic-related air pollution associated with 4 million new cases of childhood asthma every year. Nitrogen dioxide pollution appears to be a substantial risk factor for childhood asthma incidence in both developed and developing countries,1
Neighborhood Antibiotic Use May Increase Individual Risk for Resistant Bacteria,1
"A study confirms that recent climate warming in the central Yukon (Northern Canada) region has surpassed the warmest temperatures experienced in the previous 13,600 years,",1
"Inserting human copies of the brain development gene, MCPH1, into rhesus monkeys gives them better short-term memory and shorter reaction times, making them effectively smarter",1
"Employees who force themselves to smile and be happy in front of customers -- or who try to hide feelings of annoyance -- may be at risk for heavier drinking after work, according to a new study (n=1,592).",1
Evolutionary game theory shows that empathy fosters a higher level of cooperation in mathematical models of societies that would otherwise dissolve from disputes over the reputation of individuals,1
Fab Lab Applications of Large-Area Waste Polymer-based Additive Manufacturing,1
AskScience AMA Series: We are scientists here to discuss our breakthrough results from the Event Horizon Telescope. AUA!,1
"A daily-diary study on a population of overweight and obese people shows that internalized weight bias impacts psychological well-being, body appreciation, coping, eating, and exercise behaviors.",1
"Embracing me-time: being alone isn’t necessarily bad, suggests a new study of first-year college students. “Approaching solitude for its enjoyment and intrinsic values is linked to psychological health, especially for those who don’t feel as if they belong to their social groups”.",1
Research has found that Black and Latino adolescent boys who are stopped by police report more frequent engagement in delinquent behavior thereafter. The study also demonstrates that police stops have a negative impact on the adolescents' psychological well-being.,1
"Pinoy archaeologists discover new human species, Homo luzonensis",1
"Electrostimulation can improve the working memory of people in their 70s so that their performance on memory tasks is indistinguishable from that of 20-year-olds, according to new research.",1
Porphyromonas gingivalis in Alzheimer’s disease brains: Evidence for disease causation and treatment with small-molecule inhibitors,1
"Researchers have developed a novel approach to cancer immunotherapy, injecting immune stimulants directly into a tumor to teach the immune system to destroy it and other tumor cells throughout the body. The “in situ vaccination” essentially turns the tumor into a cancer vaccine factory.",1
"The rates of suicide in people who are discharged from non-psychiatric hospitals after presenting there with suicidal thoughts or behaviours (such as self-harm) have halved in the last 20 years, a new study by UNSW medical researchers has shown. (n=263,727)",1
Study: Electrical pulses return memories of Alzheimer’s patients to someone in their 20s,1
Scientists dicover a new stable state of matter that is both solid and liquid at the same time.,1
"Empathy likely evolved in a scenario where kin- and other indirect benefits co-opt strategies originally evolved for mind-reading, and this explains social emotional contagion with kin or group members.",1
Prenatal genetic tests for some autism genes may soon be available,1
